formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
3	C28H54O12	[M + H]+	C28H55O12+	Fatty acids	0.537	Glycerolipids	0.661	Monoacylglycerols	0.147	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.997	Dialkyl ethers	0.997	Polyethylene glycols	0.598	Organic compounds; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Glycerol ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	583.367	291	4.846	703058403779365965	703045692689020157	1633	
1	C18H32O4	[M + Na]+	C18H32NaO4+	Fatty acids	0.966	Octadecanoids	0.608	Other Octadecanoids	0.487	Lipids and lipid-like molecules	0.897	Fatty Acyls	0.901	Fatty acids and conjugates	0.484	Long-chain fatty acids	0.518	Long-chain fatty acids	0.518	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Fatty alcohols; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	335.220	291	4.847	703058284275239112	703045692080845997	1610	
3	C31H49N5O5	[M + Na]+	C31H49N5NaO5+	Amino acids and Peptides	0.594	Oligopeptides	0.660	Linear peptides	0.211	Organic acids and derivatives	0.708	Carboxylic acids and derivatives	0.548	Amino acids, peptides, and analogues	0.527	Amino acids and derivatives	0.514	Amino acids and derivatives	0.514	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	594.363	291	4.856	703058336481742316	703045692768711943	1639	
4	C32H66O13	[M + Na]+	C32H66NaO13+	Fatty acids	0.985	Glycerolipids	0.842	Fatty alcohols	0.619	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Ethers	0.983	Dialkyl ethers	0.987	Polyethylene glycols	0.893	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	681.439	292	4.863	703058312788118549	703045692726768898	1634	
2	C39H56O7	[M + H]+	C39H57O7+	Polyketides	0.604	Polyethers	0.437	Open-chain polyketides	0.111	Lipids and lipid-like molecules	0.675	Prenol lipids	0.533					Prenol lipids	0.533	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	637.413	292	4.863	703058386108762884	703045692806460684	1641	
1	C26H43N7O6	[M + H]+	C26H44N7O6+	Amino acids and Peptides	0.825	Oligopeptides	0.831	Cyclic peptides	0.224	Organic acids and derivatives	0.587	Carboxylic acids and derivatives	0.406	Amino acids, peptides, and analogues	0.517			Amino acids, peptides, and analogues	0.517	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	550.336	292	4.864	703058338780220972	703045692483499236	1621	
1	C30H45N5O6	[M + H]+	C30H46N5O6+	Amino acids and Peptides	0.570	Oligopeptides	0.862	Cyclic peptides	0.233	Organic acids and derivatives	0.907	Carboxylic acids and derivatives	0.776	Amino acids, peptides, and analogues	0.620	Amino acids and derivatives	0.605	Amino acids and derivatives	0.605	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	572.347	292	4.864	703058425136762916	703045692877763862	1644	
7	C30H51N5O7	[M + Na]+	C30H51N5NaO7+	Amino acids and Peptides	0.638	Oligopeptides	0.571	Tripeptides	0.083	Organic acids and derivatives	0.961	Carboxylic acids and derivatives	0.939	Amino acids, peptides, and analogues	0.883	Amino acids and derivatives	0.873	Alpha amino acids and derivatives	0.798	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	616.373	293	4.880	703058442748645868	703045692844209425	1643	
1	C15H31NO4S	[M + H]+	C15H32NO4S+	Fatty acids	0.993	Fatty amides	0.994	N-acyl amines	0.985	Lipids and lipid-like molecules	0.950	Fatty Acyls	0.956	Fatty amides	0.951	N-acyl amines	0.973	N-acyl amines	0.973	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Organosulfonic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	322.204	293	4.882	703058409454259633	703045692986815781	1648	
5	C28H58O11	[M + Na]+	C28H58NaO11+	Fatty acids	0.962	Glycerolipids	0.817	Fatty alcohols	0.539	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.994	Dialkyl ethers	0.992	Polyethylene glycols	0.721	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Glycerol ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	593.386	293	4.887	703058472683394194	703045692949067040	1646	
1	C16H25N3O6	[M + Na]+	C16H25N3NaO6+	Amino acids and Peptides	0.923	Small peptides	0.524	Dipeptides	0.198	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.785	Amino acids and derivatives	0.775	N-acyl-alpha amino acids and derivatives	0.608	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	378.162	294	4.895	703058425233231941	703045693062313263	1650	
1	C18H33N3O5	[M + H]+	C18H34N3O5+	Fatty acids	0.790	Fatty amides	0.813	N-acyl amines	0.927	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.730	Peptides	0.730	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	372.248	294	4.899	703058429263958240	703045693024564522	1649	
1	C20H40O8	[M + Na]+	C20H40NaO8+	Fatty acids	0.978	Fatty acyl glycosides	0.951	Fatty acyl glycosides of mono- and disaccharides	0.648	Lipids and lipid-like molecules	0.942	Fatty Acyls	0.924	Fatty acid esters	0.783			Fatty acid esters	0.783	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	431.261	294	4.900	703058430086041903	703045693179753790	1653	
2	C19H39NO3S	[M + H]+	C19H40NO3S+	Fatty acids	0.997	Fatty amides	0.997	N-acyl amines	0.973	Lipids and lipid-like molecules	0.961	Fatty Acyls	0.960	Fatty amides	0.950	N-acyl amines	0.920	N-acyl amines	0.920	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Secondary carboxylic acid amides; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362.273	294	4.902	703058381083986635	703045693142005049	1652	
3	C26H54O10	[M + Na]+	C26H54NaO10+	Fatty acids	0.964	Glycerolipids	0.833	Fatty alcohols	0.563	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.993	Dialkyl ethers	0.993	Polyethylene glycols	0.770	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Glycerol ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	549.359	295	4.910	703058549678235478	703045693100062004	1651	
1	C14H31NO	[M + H]+	C14H32NO+	Fatty acids	0.972	Spingolipids	0.751	Sphingoid bases	0.968	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.999	Aminoxides	0.528	Long-chain alkyl amine oxides	0.598	Long-chain alkyl amine oxides	0.598	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amine oxides and derivatives; 1,2-aminoalcohols; Amines; Alkanolamines; Trisubstituted amine oxides and derivatives; Aminoxides; Hydrocarbon derivatives; Long-chain alkyl amine oxides; Trialkyl amine oxides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.248	296	4.932	703058479759185273	703045693553046881	1660	
1	C22H44N6O7	[M + H]+	C22H45N6O7+	Carbohydrates	0.646	Aminosugars and aminoglycosides	0.267	Aminoglycosides	0.181	Organoheterocyclic compounds	0.445	Triazines	0.374	1,3,5-triazines	0.682			1,3,5-triazines	0.682	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Amines; Primary amines; 1,3,5-triazines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	505.333	296	4.934	703058484486166020	703045693234279747	1654	
1	C20H38N6O7	[M + H]+	C20H39N6O7+	Carbohydrates	0.978	Aminosugars and aminoglycosides	0.754	Aminoglycosides	0.832	Organic oxygen compounds	0.999	Organooxygen compounds	0.991	Carbohydrates and carbohydrate conjugates	0.856	Aminosaccharides	0.649	2-deoxystreptamine aminoglycosides	0.620	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	475.287	296	4.939	703058473262208231	703045693276222792	1655	
1	C19H39NO4	[M + H]+	C19H40NO4+	Fatty acids	0.999	Fatty amides	0.989	N-acyl amines	0.851	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.881	Amino acids and derivatives	0.879	N-acyl-alpha amino acids	0.570	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	346.295	297	4.953	703058514911648198	703045693318165837	1656	
3	C25H44N4O6	[M + Na]+	C25H44N4NaO6+	Amino acids and Peptides	0.981	Oligopeptides	0.697	Linear peptides	0.215	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.919	Amino acids and derivatives	0.907	N-acyl-alpha amino acids and derivatives	0.583	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	519.313	298	4.963	703058487057274593	703045693435606359	1658	
1	C20H29N5O6S	[M + H]+	C20H30N5O6S+	Alkaloids	0.467	Guanidine alkaloids	0.795	Tricyclic guanidine alkaloids	0.736	Organic acids and derivatives	0.874	Organic sulfuric acids and derivatives	0.966	Sulfuric acid esters	0.897	Sulfuric acid monoesters	0.851	Sulfuric acid monoesters	0.851	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Guanidines; Organic sulfuric acids and derivatives; Sulfuric acid monoesters; Diazines; Secondary alcohols; Amines; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	468.194	298	4.966	703058515956030062	703045693594989926	1661	
1	C18H37NO7S	[M + H]+	C18H38NO7S+	Fatty acids	0.959	Spingolipids	0.383	N-acyl amines	0.457	Lipids and lipid-like molecules	0.790	Fatty Acyls	0.805	Fatty amides	0.609	N-acyl amines	0.702	N-acyl amines	0.702	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic sulfuric acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Sulfuric acid esters; Alkyl sulfates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	412.236	298	4.966	703058485299861149	703045693636932971	1662	
